years;total;males;females
1946;23640000;11053000;12587000
1947;23754000;11264000;12490000
1948;24211000;11483000;12728000
1949;24613000;11705000;12908000
1950;25035000;11942000;13093000
1951;25507000;12183000;13324000
1952;25999000;12437000;13562000
1953;26511000;12700000;13811000
1954;27012000;12955000;14057000
1955;27550000;13232000;14318000
1956;28080000;13505800;14574200
1957;28540000;13745500;14794500
1958;29000000;13980400;15019600
1959;29479900;14226100;15253800
1960;29795200;14414300;15380900
1961;30133200;14583900;15549300
1962;30483600;14768000;15715600
1963;30939700;15001700;15938000
1964;31338900;15206400;16132500
1965;31551000;15318600;16232400
1966;31810600;15452500;16358100
1967;32163300;15620600;16542700
1968;32425700;15753400;16672300
1969;32670600;15877100;16793500
1970;32657711;15861498;16796213
1971;32909093;15986557;16922536
1972;33202290;16135442;17066848
1973;33512156;16290239;17221917
1974;33845698;16461242;17384456
1975;34184738;16633115;17551623
1976;34527892;16804870;17723022
1977;34850228;16964762;17885466
1978;35080682;17088914;17991768
1979;35413434;17253788;18159646
1980;35734868;17410612;18324256
1981;36062309;17572259;18490050
1982;36398652;17740408;18658244
1983;36744964;17913896;18831068
1984;37063303;18073800;18989503
1985;37340467;18210975;19129492
1986;37571771;18323885;19247886
1987;37764318;18418407;19345911
1988;37884655;18467046;19417609
1989;37988000;18516000;19472000
1990;38073000;18552000;19521000
1991;38144000;18581000;19563000
1992;38203000;18603000;19600000
1993;38239000;18617000;19622000
1994;38265000;18624000;19641000
1995;38284000;18628000;19656000
1996;38294000;18619000;19675000
1997;38290000;18601000;19689000
1998;38277000;18579000;19698000
1999;38263303;18547799;19715504
2000;38253955;18537339;19716616
2001;38242197;18525163;19717034
2002;38218531;18506749;19711782
2003;38190608;18486430;19704178
2004;38173835;18470253;19703582
2005;38157055;18453855;19703200
2006;38125479;18426775;19698704
2007;38115641;18411501;19704140
2008;38135876;18414926;19720950
2009;38167329;18428742;19738587
2010e;38529866;18653125;1987674
2011;38538447;18654577;19883870
2012;38533299;18649334;19883965
2013;38495659;18629535;19866124
2014;38478602;18619809;19858793
2015;38437239;18597991;19839248
2016;38432992;18593166;19839826
